last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Granderson, Curtis,2015,.265,.466,.363,.371,.200,89.3,18.1,8.3,
Pagan, Angel,2015,.265,.345,.291,.307,.077,86.3,11.1,0.9,
Morales, Kendrys,2015,.289,.504,.372,.362,.215,91.8,10.1,8.9,
Kinsler, Ian,2015,.280,.391,.315,.328,.111,85.6,17.4,2.9,
McCann, Brian,2015,.224,.389,.309,.314,.165,89.0,17.1,5.6,
Walker, Neil,2015,.255,.418,.317,.317,.163,88.7,13.8,4.8,
Desmond, Ian,2015,.236,.379,.295,.294,.142,89.6,5.1,7.1,
Cruz, Nelson,2015,.288,.540,.379,.358,.251,92.4,9.6,14.1,
Trumbo, Mark,2015,.258,.445,.324,.307,.186,91.9,13.0,9.8,
Peralta, David,2015,.287,.454,.353,.356,.165,91.3,5.9,7.7,
Escobar, Alcides,2015,.273,.337,.287,.309,.062,83.5,8.3,0.9,
Prado, Martin,2015,.290,.387,.323,.345,.096,88.9,8.8,2.3,
Duda, Lucas,2015,.255,.502,.368,.362,.245,91.7,19.7,11.6,
Longoria, Evan,2015,.261,.463,.336,.323,.201,89.6,15.4,8.5,
Davis, Chris,2015,.264,.590,.398,.364,.326,91.8,17.3,17.6,
Zobrist, Ben,2015,.273,.397,.331,.356,.123,88.5,8.2,3.8,
Fowler, Dexter,2015,.235,.350,.307,.333,.114,86.4,11.8,4.7,
Headley, Chase,2015,.266,.404,.325,.333,.137,86.6,11.8,5.1,
Lind, Adam,2015,.248,.421,.326,.337,.171,89.5,11.0,7.2,
Cabrera, Asdrubal,2015,.236,.392,.296,.291,.155,87.3,16.2,5.4,
Tulowitzki, Troy,2015,.259,.415,.316,.319,.156,89.8,12.6,5.3,
Blackmon, Charlie,2015,.270,.395,.319,.332,.125,85.5,13.5,3.9,
Frazier, Todd,2015,.259,.471,.335,.313,.211,89.2,18.4,9.2,
