year_film,category,movie_title,nominee,oscwin,ggwin,guildwin,sagwin,bawin,tomatometer_rating,tomatometer_status,genre,metascore,numnom
1939,cinematography,gone with the wind,gone with the wind,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,cinematography,the wizard of oz,the wizard of oz,0,0,0,0,0,98.0,certified fresh,none,98.0,5
1939,director,gone with the wind,gone with the wind,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,director,mr smith goes to washington,mr smith goes to washington,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,director,stagecoach,stagecoach,0,0,0,0,0,93.0,False,"['adventure', 'drama', 'western']",93.0,6
1939,director,wuthering heights,wuthering heights,0,0,0,0,0,95.0,fresh,none,95.0,8
1939,score,gone with the wind,gone with the wind,0,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,score,the wizard of oz,the wizard of oz,1,0,0,0,0,98.0,certified fresh,none,98.0,5
1939,score,wuthering heights,wuthering heights,0,0,0,0,0,95.0,fresh,none,95.0,8
1939,score,mr smith goes to washington,mr smith goes to washington,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,score,stagecoach,stagecoach,1,0,0,0,0,93.0,False,"['adventure', 'drama', 'western']",93.0,6
1939,picture,gone with the wind,gone with the wind,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,picture,mr smith goes to washington,mr smith goes to washington,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,picture,ninotchka,ninotchka,0,0,0,0,0,97.0,fresh,none,97.0,4
1939,picture,stagecoach,stagecoach,0,0,0,0,0,93.0,False,"['adventure', 'drama', 'western']",93.0,6
1939,picture,the wizard of oz,the wizard of oz,0,0,0,0,0,98.0,certified fresh,none,98.0,5
1939,picture,wuthering heights,wuthering heights,0,0,0,0,0,95.0,fresh,none,95.0,8
1939,effects,gone with the wind,gone with the wind,0,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,effects,the wizard of oz,the wizard of oz,0,0,0,0,0,98.0,certified fresh,none,98.0,5
1939,screenplay,mr smith goes to washington,mr smith goes to washington,1,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,screenplay,ninotchka,ninotchka,0,0,0,0,0,97.0,fresh,none,97.0,4
1939,screenplay,gone with the wind,gone with the wind,1,0,0,0,0,90.0,certified fresh,"['drama', 'history', 'romance', 'war']",97.0,11
1939,screenplay,mr smith goes to washington,mr smith goes to washington,0,0,0,0,0,73.0,False,"['drama', 'comedy']",73.0,9
1939,screenplay,ninotchka,ninotchka,0,0,0,0,0,97.0,fresh,none,97.0,4
1939,screenplay,wuthering heights,wuthering heights,0,0,0,0,0,95.0,fresh,none,95.0,8
1940,actor,the great dictator,charles chaplin,0,0,0,0,0,93.0,certified fresh,none,93.0,5
1940,actor,the grapes of wrath,henry fonda,0,0,0,0,0,100.0,certified fresh,"['drama', 'history']",96.0,5
1940,actor,the philadelphia story,james stewart,1,0,0,0,0,100.0,certified fresh,none,100.0,6
1940,supporting actor,foreign correspondent,albert basserman,0,0,0,0,0,94.0,fresh,none,94.0,6
1940,supporting actor,the great dictator,jack oakie,0,0,0,0,0,93.0,certified fresh,none,93.0,5
1940,actress,the philadelphia story,katharine hepburn,0,0,0,0,0,100.0,certified fresh,none,100.0,6
1940,supporting actress,the grapes of wrath,jane darwell,1,0,0,0,0,100.0,certified fresh,"['drama', 'history']",96.0,5
1940,supporting actress,the philadelphia story,ruth hussey,0,0,0,0,0,100.0,certified fresh,none,100.0,6
1940,production design,foreign correspondent,foreign correspondent,0,0,0,0,0,94.0,fresh,none,94.0,6
1940,cinematography,foreign correspondent,foreign correspondent,0,0,0,0,0,94.0,fresh,none,94.0,6
1940,director,the grapes of wrath,the grapes of wrath,1,0,0,0,0,100.0,certified fresh,"['drama', 'history']",96.0,5
1940,director,the philadelphia story,the philadelphia story,0,0,0,0,0,100.0,certified fresh,none,100.0,6
1940,score,the great dictator,the great dictator,0,0,0,0,0,93.0,certified fresh,none,93.0,5
1940,score,pinocchio,pinocchio,1,0,0,0,0,100.0,certified fresh,"['fantasy', 'comedy', 'animation', 'family', 'musical']",99.0,1
1940,picture,foreign correspondent,foreign correspondent,0,0,0,0,0,94.0,fresh,none,94.0,6
1940,picture,the grapes of wrath,the grapes of wrath,0,0,0,0,0,100.0,certified fresh,"['drama', 'history']",96.0,5
1940,picture,the great dictator,the great dictator,0,0,0,0,0,93.0,certified fresh,none,93.0,5
1940,picture,the philadelphia story,the philadelphia story,0,0,0,0,0,100.0,certified fresh,none,100.0,6
1940,effects,foreign correspondent,foreign correspondent,0,0,0,0,0,94.0,fresh,none,94.0,6
1940,screenplay,foreign correspondent,foreign correspondent,0,0,0,0,0,94.0,fresh,none,94.0,6
1940,screenplay,the great dictator,the great dictator,0,0,0,0,0,93.0,certified fresh,none,93.0,5
1940,screenplay,the grapes of wrath,the grapes of wrath,0,0,0,0,0,100.0,certified fresh,"['drama', 'history']",96.0,5
1940,screenplay,the philadelphia story,the philadelphia story,1,0,0,0,0,100.0,certified fresh,none,100.0,6
1941,actor,citizen kane,orson welles,0,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,supporting actor,how green was my valley,donald crisp,1,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,supporting actor,the maltese falcon,sydney greenstreet,0,0,0,0,0,100.0,certified fresh,"['mystery', 'film-noir']",96.0,3
1941,supporting actress,how green was my valley,sara allgood,0,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,production design,citizen kane,citizen kane,0,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,production design,how green was my valley,how green was my valley,1,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,cinematography,citizen kane,citizen kane,0,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,cinematography,how green was my valley,how green was my valley,1,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,director,citizen kane,citizen kane,0,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,director,how green was my valley,how green was my valley,1,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,score,citizen kane,citizen kane,0,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,score,how green was my valley,how green was my valley,0,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,score,dumbo,dumbo,1,0,0,0,0,98.0,certified fresh,"['drama', 'animation', 'family', 'musical']",96.0,1
1941,picture,citizen kane,citizen kane,0,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,picture,how green was my valley,how green was my valley,1,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,picture,the maltese falcon,the maltese falcon,0,0,0,0,0,100.0,certified fresh,"['mystery', 'film-noir']",96.0,3
1941,screenplay,citizen kane,citizen kane,1,0,0,0,0,100.0,certified fresh,"['drama', 'mystery']",100.0,7
1941,screenplay,the lady eve,the lady eve,0,0,0,0,0,100.0,fresh,none,100.0,1
1941,screenplay,how green was my valley,how green was my valley,0,0,0,0,0,91.0,certified fresh,none,91.0,8
1941,screenplay,the maltese falcon,the maltese falcon,0,0,0,0,0,100.0,certified fresh,"['mystery', 'film-noir']",96.0,3
1942,actor,yankee doodle dandy,james cagney,1,0,0,0,0,93.0,fresh,none,93.0,6
1942,actor,the pride of the yankees,gary cooper,0,0,0,0,0,93.0,fresh,none,93.0,9
1942,actor,mrs miniver,walter pidgeon,0,0,0,0,0,92.0,fresh,none,92.0,10
1942,supporting actor,yankee doodle dandy,walter huston,0,0,0,0,0,93.0,fresh,none,93.0,6
1942,supporting actor,mrs miniver,henry travers,0,0,0,0,0,92.0,fresh,none,92.0,10
1942,actress,now voyager,bette davis,0,0,0,0,0,91.0,fresh,none,91.0,3
1942,actress,mrs miniver,greer garson,1,0,0,0,0,92.0,fresh,none,92.0,10
1942,actress,woman of the year,katharine hepburn,0,0,0,0,0,92.0,fresh,none,92.0,2
