Name,Team,playerid
Victor Caratini,CHC,14968
Geoff Hartlieb,PIT,19558
Cody Carroll,BAL,17664
Joseph Palumbo,TEX,17035
Dennis Santana,LAD,17878
Matt Hall,BOS,18076
Michael Shawaryn,BOS,19495
Adrian Morejon,SDP,20039
Kyle Zimmer,KCR,14169
Nick Burdi,PIT,16074
Austen Williams,WSH,16309
Gerson Bautista,SEA,19256
Bryan Garcia,DET,19457
Scott Kingery,PHI,17975
Hanser Alberto,BAL,11902
Huascar Ynoa,ATL,20468
Roman Quinn,PHI,13546
Alex Gordon,KCR,5209
Mike Ford,NYY,15585
Austin Romine,DET,5491
Ehire Adrianza,MIN,8418
Yennsy Diaz,TOR,20218
Dylan Moore,SEA,18042
Willians Astudillo,MIN,15608
James Bourque,WSH,16668
Enrique Hernandez,LAD,10472
Taylor Hearn,TEX,18325
